Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation,Map no,Easting,Northing,REC number,Fishing method,Passes,Length fished,Area fished
50223,9,1944,Oaro River,1361010,Te Moto Moto Stream,638, ,Oaro River, ,3,1,unk,o32,2551100,5854500,13012430,unk, , , 
50680,3,1948,Orari River,1361212,Orari River 1,695, ,Orari River, ,10,10,niwa,k38,2377600,5667900,13063681,obs, , ,1
50377,3,1954,Waimakariri River,1361069,Rubicon River,664.072,,Rubicon River,,450,85,unk,L35,2418100,5765600,13038963,unk,,,
50532,1,1954,Hinds River,1361176,Hinds River North Branch,691.01,,North Branch Hinds River,,345,52,unk,K36,2380000,5716900,9,unk,,,
50335,11,1957,Waipara River,1361052,Waipara River,659, ,Waipara River, ,50,16,unk,m34,2489900,5793100,13030392,han, , ,1
2832,4,1960,Opihi River,1361239,Opihi River 2,696.08, ,Opuha River, ,140,38,niwa,j38,2349600,5668700,13063387,unk, , , 
2833,3,1960,Opihi River,1361227,Hae Hae Te Moana River,696.026, ,Hae Hae Te Moana River, ,150,32,niwa,j38,2365200,5679400,13062049,unk, , , 
50730,12,1960,Waitaki River,1361272,Hakataramea River 1,711.14, ,Hakataramea River, ,202,65,niwa,i40,2311200,5606000,13521044,ef,1, , 
782,9,1961,Ashburton River,1361153,Ashburton River 1,688, ,Ashburton River, ,1,1,unk,l37,2414000,5683200,13061477,ef,1, , 
788,12,1961,Otaio River,1361254,Otaio River lower,703, ,Otaio River, ,0,1,niwa,j39,2365400,5627100,13067239,unk, , , 
789,12,1961,Otaio River,1361414,Otaio River upper,703, ,Otaio River, ,230,27,niwa,j39,2345400,5629600,13067076,unk, , , 
839,12,1961,Kohika Stream,1361255,Kohika Stream,704,day,Kohika Stream,,70,16,niwa,J39,2356700,5626200,13067319,ef,1,,
50350,4,1961,Ashley River,1361055,Ashley River,662, ,Ashley River, ,5,2,niwa,m35,2484700,5770000,13037679,unk, , , 
50492,5,1961,Ashburton River,1361163,Bowyers Stream,688.021,day,Bowyers Stream,,380,65,niwa,K36,2384100,5727200,13050464,ef,1,,
50508,9,1961,Ashburton River,1361163,Bowyers Stream,688.021,,Buccleuch Stream,,330,61,niwa,k36,2384800,5723300,13051694,ef,1,,
50688,8,1961,Opihi River,1361230,Opihi River 1,696, ,Opihi River, ,15,9,niwa,k38,2371700,5659000,13064793,unk, , , 
50756,10,1961,Kakanui River,1361385,Kakanui River 1,717, ,Kakanui River, ,30,15,niwa,j41,2338800,5563300,14030148,ef,1, , 
308,5,1962,Ashburton River,1361162,Taylors Stream,688.02,day,Taylors Stream,,250,50,niwa,K36,2391900,5718200,13053142,ef,1,,
310,6,1962,Rangitata River,1361191,Scour Stream,693.12,,Tui Stream,,460,95,unk,j36,2342600,5725200,13051109,unk,,,
812,6,1962,Rangitata River,1361191,Scour Stream,693.12,,Scour Stream tributary,,450,94,unk,J36,2343600,5724600,13051349,unk,,,
816,6,1962,Rakaia River,1361142,Glenariffe Stream tributary,685.1,day,Glenariffe Stream tributary,,440,117,niwa,K35,2375800,5764100,13039393,ef,1,,
50343,3,1962,Ashley River,1361055,Ashley River,662,,Ashley River,,140,33,unk,M34,2458400,5771900,13036893,unk,,,
50361,2,1962,Ashley River,1361055,Ashley River,662, ,Ashley River, ,5,2,unk,m35,2485000,5769900,13037679,unk, , , 
50525,8,1962,Hinds River,1361176,Hinds River North Branch,691.01,,North Branch Hinds River,,390,56,niwa,k36,2377500,5719300,13052879,unk,,,
50533,8,1962,Hinds River,1361179,Limestone Creek,691.021,day,Limestone Creek,,410,57,niwa,K36,2374800,5716500,13053831,ef,1,,
50534,11,1962,Hinds River,1361177,Hinds River South Branch,691.02,day,South Branch Hinds River,,350,50,niwa,K36,2377300,5711500,13055601,ef,1,,
50537,11,1962,Hinds River,1361176,Hinds River North Branch,691.01,,North Branch Hinds River,,350,53,niwa,K36,2379400,5717200,9,unk,,,
50539,11,1962,Hinds River,1361176,Hinds River North Branch,691.01, ,North Branch Hinds River, ,310,48,niwa,k36,2381900,5713800,13054737,ef,1, , 
50541,11,1962,Hinds River,1361176,Hinds River North Branch,691.01,day,North Branch Hinds River,,410,58,niwa,K36,2376500,5720600,13052523,ef,1,,
50545,8,1962,Hinds River,1361176,Hinds River North Branch,691.01,,North Branch Hinds River,,330,51,niwa,K36,2381100,5715800,9,unk,,,
50556,11,1962,Hinds River,1361176,Hinds River North Branch,691.01,,North Branch Hinds River,,265,43,niwa,K37,2383800,5710000,13056155,unk,,,
50573,11,1962,Hinds River,1361179,Limestone Creek,691.021,day,Limestone Creek,,480,60,niwa,K36,2373200,5718800,13052969,ef,1,,
50577,8,1962,Hinds River,1361176,Hinds River North Branch,691.01, ,North Branch Hinds River, ,290,45,niwa,k36,2383200,5711700,13054738,unk, , , 
50590,8,1962,Hinds River,1361175,Hinds River,691,,Hinds River,,260,43,niwa,K37,2383900,5709200,13056271,unk,,,
111,1,1963,Orari River,1361211,Rata Stream,695.03,,Rata Stream,,420,51,unk,J37,2368000,5699800,13058722,unk,,,
801,2,1963,Waimakariri River,1361081,Porter River lower,664.134,day,Porter River,,700,118,unk,K34,2406700,5772800,13036746,ef,1,,
50342,9,1963,Ashley River,1361057,Garry River,662.07,,Garry River,,180,37,unk,M34,2457000,5775600,13035707,unk,,,
242,12,1964,Ashburton River,1361165,Woolshed Creek,688.03,,Woolshed Creek,,440,72,niwa,K36,2375300,5724700,13051142,unk,,,
303,12,1964,Ashburton River,1361164,Stony Creek,688.03,day,Stony Creek,,440,68,niwa,K36,2376600,5724000,9,ef,1,,
305,12,1964,Ashburton River,1361166,Stour River,688.052,day,Stour River West Branch,,680,94,niwa,J36,2369100,5736900,13047473,ef,1,,
793,11,1964,Waitaki River,1361300,Otematata River lower,711.3,day,Otematata River,,270,94,niwa,H40,2288000,5619000,13519255,ef,1,,
32820,12,1964,Hinds River,1361176,Hinds River North Branch,691.01,day,North Branch Hinds River,,332,54,niwa,,2380724,5715644,13054122,unk,,,
50323,7,1964,Waimakariri River,1361097,Bealey River,664.24,day,Bealey River,,1008,156,niwa,K33,2392900,5806100,13025892,ef,1,,
50324,7,1964,Waimakariri River,1361097,Bealey River,664.245,,Devils Punchbowl,,760,159,niwa,k33,2392700,5807300,13024986,ef,1,,
50325,7,1964,Waimakariri River,1361097,Bealey River,664.24,day,Bealey River tributary,,1107,157,niwa,K33,2392600,5806600,13025705,ef,1,,
50326,7,1964,Waimakariri River,1361092,Paddys Bend Stream,664,day,Waimakariri River,,550,137,niwa,K34,2405300,5798700,13028486,ef,1,,
50328,7,1964,Waimakariri River,1361380,Cass River,664.19,day,Cass River,,570,135,niwa,K34,2407900,5797000,13028629,ef,1,,
50392,7,1964,Waimakariri River,1361067,Kowai River,664.07,day,Kowai River,,370,80,niwa,L35,2422900,5764400,13039253,ef,1,,
50469,12,1964,Ashburton River,1361162,Taylors Stream,688.02,day,Taylors Stream,,450,69,niwa,K36,2385400,5732500,13049088,ef,1,,
50507,12,1964,Ashburton River,1361163,Bowyers Stream,688.021,,Bowyers Stream,,300,57,niwa,K36,2387700,5722300,13052071,unk,,,
810,12,1965,Orari River,1361210,Coopers Creek,695.03, ,Coopers Creek, ,175,34,niwa,k37,2371900,5686600,13061028,ef,1, , 
811,12,1965,Orari River,1361211,Rata Stream,695.03, ,Kowhai Stream, ,380,50,niwa,j37,2367900,5699200,13058813,unk, , , 
815,4,1965,Rakaia River,1361142,Glenariffe Stream tributary,685.1,day,Glenariffe Stream tributary,,440,117,niwa,K35,2375800,5764100,13039393,efm,1,,
820,12,1965,Opihi River,1361228,Hae Hae Te Moana River South Branch,696.026,day,Hae Hae Te Moana River South Branch,,270,45,niwa,J37,2356500,5683300,13061455,ef,1,,
821,12,1965,Opihi River,1361227,Hae Hae Te Moana River,696.026, ,Hae Hae Te Moana River, ,160,34,niwa,j37,2364200,5680200,13061964,ef,1, , 
829,4,1965,Hinds River,1361176,Hinds River North Branch,691.01, ,North Branch Hinds River, ,300,47,niwa,k36,2382600,5713200,13054738,ef,1, , 
855,12,1965,Opihi River,1361225,Waihi River,696.025, ,Waihi River, ,120,31,unk,j38,2369400,5678800,13062124,unk, , , 
1091,4,1965,Waitaki River,1361295,Awakino River lower,711.15,,Awakino River,,230,71,niwa,i40,2307100,5608400,13520793,ef,1,,
1092,4,1965,Waitaki River,1361272,Hakataramea River 1,711.14, ,Hakataramea River, ,205,66,niwa,i40,2311100,5607000,13520975,ef,1, , 
2532,5,1965,Waiau River,1361018,Wandle River,646.102,day,Wandle River,,220,62,niwa,N32,2518200,5846700,13014286,ef,,,
2533,5,1965,Waiau River,1361017,Mason River upper,646.1,day,Mason River,,450,79,niwa,N32,2524400,5857000,13011765,ef,1,,
2534,5,1965,Conway River,1361012,Conway River,643,day,Conway River,,30,8,niwa,O32,2543400,5845000,13014830,ef,1,,
2535,5,1965,Conway River,1361012,Conway River,643,day,Conway River tributary,,30,8,niwa,O32,2543400,5844800,13014915,ef,1,,
2536,5,1965,Conway River,1361012,Conway River,643,day,Conway River,,290,43,niwa,O31,2532700,5860500,13010986,ef,1,,
50242,10,1965,Waiau River,1361033,Nathan Stream,646.32,day,Nathan Stream,,440,121,niwa,M32,2464000,5846100,13014594,ef,1,,
50244,10,1965,Waiau River,1361032,Hope River lower,646.32,day,Hope River,,430,119,niwa,M32,2465100,5846400,13014478,ef,1,,
50270,8,1965,Waiau River,1361019,Browns Stream,646.15,day,Browns Stream,,270,78,niwa,N32,2490700,5838100,13016662,unk,,,
50276,2,1965,Hurunui River,1361051,Hurunui River upper,651,,Hurunui River,,560,133,niwa,L32,2436000,5833600,13017723,unk,,,
50353,12,1965,Ashley River,1361055,Ashley River,662, ,Ashley River, ,5,2,niwa,m35,2484800,5770000,13037679,ef,1, , 
246,10,1966,Rakaia River,1361130,Avoca River lower,685.081,day,Avoca River,,660,144,niwa,K34,2391100,5782000,13033772,ef,,,
248,10,1966,Rakaia River,1361131,Centre Creek,685.081,day,Centre Creek,,680,145,niwa,K34,2390700,5782900,13033221,ef,,,
249,10,1966,Rakaia River,1361127,Harper River lower,685.081,day,Harper River,,550,134,niwa,K34,2387000,5776200,13035695,ef,1,,
250,10,1966,Rakaia River,1361137,Wilberforce River 3,685.08,day,Wilberforce River,,560,136,niwa,K34,2378900,5781900,13033373,ef,1,,
302,3,1966,Ashburton River,1361164,Stony Creek,688.03,day,Stony Creek water race,,440,68,niwa,K36,2376600,5724100,13051207,ef,1,,
304,10,1966,Ashburton River,1361166,Stour River,688.052,day,Stour River West Branch,,680,94,niwa,J36,2369100,5737200,13047473,efm,1,,
779,10,1966,Ashburton River,1361158,Pudding Hill Stream tributary,688.01,day,North Branch Ashburton River tributary,,410,66,niwa,K36,2392400,5732000,13048682,ef,1,,
800,10,1966,Waimakariri River,1361081,Porter River lower,664.134, ,Porter River, ,700,118,niwa,k34,2406700,5772800,13036746,ef,1, , 
832,3,1966,Selwyn River,1361110,Selwyn water race,680,,Hororata water race,,200,74,niwa,l35,2427600,5741600,0,ef,1,,
844,3,1966,Kahutara River,1361009,Kahutara River,634,,Kahutara River tributary,,20,3,niwa,o31,2557800,5865600,13009809,ef,1,,
857,10,1966,Waimakariri River,1361093,Douglas Stream,664,,Waimakariri River,,570,140,unk,K34,2402900,5798300,13028618,unk,,,
50388,11,1966,Rakaia River,1361141,Double Hill Stream tributary,685.1,,Double Hill Stream,,380,114,unk,k35,2377900,5764800,13039079,unk,,,
50896,3,1967,Waiau River,1361032,Hope River lower,646.32,day,Hope River,,410,115,niwa,M32,2469800,5846400,13014517,efm,1,,
32821,5,1968,Hinds River,1361176,Hinds River North Branch,691.01, ,North Branch Hinds River, ,332,54,uoc, ,2380724,5715644,13054122,etc, , , 
50619,11,1969,Ashburton River,1361156,Ashburton River 4,688, ,Ashburton River, ,90,21,unk,k37,2408600,5699000,13058562,unk, , , 
50528,12,1971,Hinds River,1361177,Hinds River South Branch,691.02,,South Branch Hinds River,,580,62,niwa,J36,2368300,5718300,13053356,unk,,,
50689,3,1972,Opihi River,1361230,Opihi River 1,696, ,Opihi River, ,15,9,unk,k38,2371800,5659000,13064793,unk, , , 
3187,,1973,Waipara River,1361052,Waipara River,659,,Waipara River,,50,16,niwa,M34,2489900,5793100,13030392,han,,,2
3188,8,1973,Waiau River,1361021,Hanmer River lower,646.2,,Hanmer River,,290,90,niwa,N32,2492800,5847800,13014162,han,,,2
3189,8,1973,Waiau River,1361032,Hope River lower,646.321,,Kakapo Brook,,410,114,niwa,m32,2470300,5846200,13014518,han,,,1
5935,3,1973,Waianakarua River,1361394,Waianakarua River,720, ,Waianakarua River, ,25,7,niwa,j42,2337000,5547200,14038162,han, , ,6
703,1,1974,Selwyn River,1361115,Selwyn River North Branch,680,,North Branch Selwyn River,,470,106,niwa,L35,2411800,5756700,13041642,ef,1,,
704,1,1974,Selwyn River,1361099,Hawkins River,680.03,,Hawkins River,,430,107,niwa,L35,2415900,5758100,13041204,ef,1,,
705,1,1974,Selwyn River,1361099,Hawkins River,680.03,,Hawkins River,,420,105,niwa,L35,2418200,5758100,13041240,ef,1,,
706,1,1974,Selwyn River,1361099,Hawkins River,680.03, ,Hawkins River, ,390,102,niwa,l35,2420000,5757800,13041205,ef,1, , 
712,1,1974,Selwyn River,1361099,Hawkins River,680.03, ,Hawkins River, ,335,96,niwa,l35,2424400,5759000,13040898,ef,1, , 
713,1,1974,Selwyn River,1361111,Selwyn River upper,680,,Selwyn River,,320,84,niwa,L35,2420300,5752200,13043175,ef,1,,
5914,3,1974,Waiau River,1361037,Lewis River,646.323,,Lewis River,,570,139,niwa,M32,2458900,5854500,13012214,han,,,2
5915,4,1974,Hurunui River,1361040,Hurunui River lower,651,,Hurunui River,,60,19,niwa,N33,2517900,5812100,13023957,han,,,2
5924,5,1974,Waimakariri River,1361096,Waimakariri River - Klondyke Corner,664,,Waimakariri River,,630,148,niwa,K34,2395600,5797600,13028834,han,,,4
5925,5,1974,Rakaia River,1361126,Moss Burn,685.081,,Harper River,,540,133,niwa,K34,2386300,5775600,13035773,han,,,2
5926,5,1974,Rakaia River,1361136,Wilberforce River 2,685.08,,Wilberforce River,,490,128,niwa,K34,2381300,5775800,13035711,han,,,3
122,1,1975,Selwyn River,1361105,Hororata River tributary 2,680.04, ,Unnamed wetland, ,140,65,niwa,l36,2432300,5735300,0,unk, , , 
32829,5,1975,Selwyn River,1361104,Hororata River tributary 1,680.04, ,Hororata River tributary, ,140,64,niwa,L36,2432319,5735042,13048476,unk, , , 
32830,5,1975,Selwyn River,1361104,Hororata River tributary 1,680.04, ,Hororata River tributary, ,140,64,niwa,L36,2432319,5735042,13048476,unk, , , 
32831,5,1975,Selwyn River,1361104,Hororata River tributary 1,680.04, ,Hororata River tributary, ,140,64,niwa,L36,2432319,5735042,13048476,unk, , , 
32832,,1975,Hinds River,1361176,Hinds River North Branch,691.01,,Hinds River North Branch,,331,54,niwa,,2380909,5715555,13054122,unk,,,
32833,,1975,Hinds River,1361176,Hinds River North Branch,691.01,,Hinds River North Branch,,276,47,niwa,,2383830,5710761,13055717,unk,,,
32834,,1975,Hinds River,1361175,Hinds River,691,,Hinds River,,236,41,niwa,,2385356,5707222,13057196,unk,,,
32835,,1975,Hinds River,1361175,Hinds River,691,,Hinds River,,218,39,niwa,,2386764,5705235,13057196,unk,,,
50588,11,1975,Hinds River,1361175,Hinds River,691,,Hinds River,,260,43,niwa,K37,2383700,5709600,13056271,pun,,,1
50609,5,1975,Hinds River,1361175,Hinds River,691, ,Clearwell Springs, ,195,33,niwa,k37,2388200,5702200,13058339,gmt, , ,1
50705,12,1975,Pareora River,1361251,Pareora River lower,701, ,Pareora River tributary, ,5,2,niwa,j39,2366700,5633400,13066869,pun, , ,1
1106,12,1976,Waitaki River,1361262,Waitaki River tributary 1,711, ,Waitaki River, ,35,11,niwa,j41,2354200,5585100,13523977,sen, , ,1
1113,11,1977,Waitaki River,1361278,Hakataramea River 2,711.14,1100,Hakataramea River, ,270,79,niwa,i40,2319700,5613500,13520194,ef,1, , 
1114,11,1977,Waitaki River,1361272,Hakataramea River 1,711.14,1300,Hakataramea River, ,210,68,niwa,i40,2312000,5608300,13520806,ef,1, , 
1115,11,1977,Waitaki River,1361272,Hakataramea River 1,711.14,1500,Hakataramea River, ,202,65,niwa,i40,2311400,5606200,13521044,ef,1, , 
1116,11,1977,Waitaki River,1361263,Maerewhenua River,711.04, ,Maerewhenua River, ,210,56,niwa,i41,2320300,5582400,13524490,ef,1, , 
1118,11,1977,Waitaki River,1361262,Waitaki River tributary 1,711,1000,Waitaki River, ,35,11,niwa,j41,2354200,5585100,13523982,ef,1, , 
1121,1,1977,Waitaki River,1361262,Waitaki River tributary 1,711, ,Waitaki River, ,35,11,niwa,j41,2354200,5585100,13523982,sen, , ,1
3202,3,1977,Hurunui River,1361049,Homestead Stream,651.15,1000,Homestead Stream,,480,116,niwa,L33,2444300,5822800,13020781,ef,1,,
3203,3,1977,Hurunui River,1361050,Hurunui River South Branch,651.15,1100,Hurunui River South Branch,,660,126,niwa,L33,2438400,5827900,13019388,ef,1,,
3205,3,1977,Hurunui River,1361051,Hurunui River upper,651.26,1345,Landslip Stream,,590,138,niwa,L32,2431700,5834500,13017470,ef,1,,
5066,10,1977,Waitaki River,1361354,Blue Stream,711.38,,Blue Lake,,760,209,unk,H36,2281400,5719900,0,unk,,,
50153,3,1977,Waiau River,1361029,Lake Guyon outlet stream,646.46,,Lake Guyon outlet,,790,155,unk,M31,2479500,5880900,13006174,unk,,,
50156,3,1977,Waiau River,1361028,Ada River,646.44,,Ada River,,940,164,unk,M31,2467900,5878100,13006817,unk,,,
50162,3,1977,Waiau River,1361028,Ada River,646.44,,Ada River,,750,150,unk,M31,2477300,5877400,13006767,unk,,,
50169,3,1977,Waiau River,1361027,Henry River,646.42,,Henry River,,860,153,unk,M31,2470300,5872900,13008089,unk,,,
50190,3,1977,Waiau River,1361026,Stanley River,646.4,,Stanley River,,620,137,unk,M31,2478800,5867700,13009115,unk,,,
50197,3,1977,Waiau River,1361025,Jones Stream,646.381,,Jones Stream,,660,137,unk,M31,2475700,5865500,13009830,unk,,,
50217,3,1977,Waiau River,1361038,Nina River,646.323,,Nina River,,620,144,unk,M32,2458900,5859100,13011305,unk,,,
50219,3,1977,Waiau River,1361039,Boyle River upper,646.323,,Maritana Stream,,730,149,unk,m32,2466800,5856500,13011713,unk,,,
50231,2,1977,Waiau River,1361023,Percival River,646.21,,Percival River,,310,94,unk,N32,2494100,5850500,13013421,unk,,,
50245,3,1977,Waiau River,1361032,Hope River lower,646.32,,Hope River,,410,115,unk,M32,2469800,5846400,13014501,unk,,,
50268,3,1977,Waiau River,1361035,Kiwi River,646.32,,Kiwi River,,630,142,unk,L32,2447500,5840100,13016077,unk,,,
50433,9,1977,Waimakariri River,1361091,Cass River,664.19, ,Misery Stream, ,600,139,unk,k34,2406100,5795700,13029445,unk, , , 
1101,7,1978,Waitaki River,1361354,Blue Stream,711.38,1400,Blue Stream,,670,204,niwa,H36,2279600,5715700,13502881,han,,,2
1124,1,1978,Waitaki River,1361265,Maerewhenua River North Branch,711.047,1130,North Branch Maerewhenua River,,350,68,niwa,I41,2311200,5580500,13524625,ef,1,,
1125,2,1978,Waitaki River,1361306,Ahuriri River,711.31,1130,Ahuriri River,,580,149,niwa,H39,2252500,5630100,13517209,ef,1,,
1127,2,1978,Waitaki River,1361307,Ahuriri River 1,711.31,1300,Ahuriri River,,410,125,niwa,H39,2270500,5633100,13516658,ef,1,,
1128,2,1978,Waitaki River,1361307,Ahuriri River 1,711.31,1400,Ahuriri River,,380,121,niwa,H39,2274900,5632500,13516732,ef,1,,
1129,1,1978,Waitaki River,1361355,Mary Burn tributary,711.391,1130,Mary Burn, ,455,144,niwa,i38,2296200,5658200,9,ef,1, , 
1130,1,1978,Waitaki River,1361359,Irishman Creek lower,711.391,1330,Irishman Creek,,680,170,niwa,I38,2297600,5678500,13508333,ef,1,,
1131,1,1978,Waitaki River,1361362,Grays River 1,711.392,1430,Grays River,,470,147,niwa,I38,2298300,5659300,13511422,ef,1,,
1132,1,1978,Waitaki River,1361268,Penticoco Stream,711.06,1100,Penticotico Stream,,150,47,niwa,I40,2323100,5595500,13522369,ef,1,,
1135,9,1978,Waitaki River,1361262,Waitaki River tributary 1,711, ,Waitaki River, ,35,11,niwa,j41,2354200,5585100,13523982,ef,1, , 
1140,9,1978,Waitaki River,1361267,Waitaki River tributary 2,711,day,Waitaki River tributary,,140,44,niwa,I40,2325400,5593600,13522682,ef,1,,
1141,12,1978,Waitaki River,1361265,Maerewhenua River North Branch,711.04, ,Maerewhenua River, ,250,66,niwa,i41,2312200,5580500,13524626,ef,1, , 
1142,12,1978,Waitaki River,1361263,Maerewhenua River,711.04,day,Maerewhenua River,,130,41,niwa,I40,2327900,5592300,13522896,ef,1,,
1,6,1979,Hinds River,1361179,Limestone Creek,691.021,1030,Limestone Creek,,480,60,niwa,K36,2373200,5718800,,ef,,,
1054,6,1979,Waimakariri River,1361062,Otukaikino Stream,664.05,1445,Otukaikino Creek, ,15,15,niwa,m35,2478300,5750800,13043226,efp,1, , 
1109,1,1979,Waitaki River,1361343,Tekapo River,711.39,1500,Tekapo River, ,380,131,niwa,h38,2289800,5651800,13512774,div, , , 
1143,1,1979,Kakanui River,1361385,Kakanui River 1,717,1100,Kakanui River, ,10,10,niwa,j42,2340100,5558400,14032399,efm,1, , 
1144,1,1979,Kakanui River,1361386,Island Stream,717.02,1300,Island Stream,,50,21,niwa,j42,2333800,5558600,14032797,efm,1,,
1147,3,1979,Waitaki River,1361301,Otematata River middle,711.3,1430,Otematata River,,390,107,niwa,H40,2284900,5611700,13520266,ef,1,,
1148,4,1979,Waitaki River,1361281,Station Stream,711.14,1000,Station Stream,,460,90,niwa,i39,2317200,5620500,13518956,ef,1,,
1149,4,1979,Waitaki River,1361281,Station Stream,711.14,1130,Station Stream,,600,93,niwa,I39,2315200,5622700,13518578,ef,1,,30
1150,4,1979,Kakanui River,1361385,Kakanui River 1,717,1430,Kakanui River,,30,15,niwa,J41,2338800,5563300,14030148,ef,1,,
1151,4,1979,Kakanui River,1361385,Kakanui River 1,717,1340,Kakanui River,,70,27,niwa,J41,2333400,5570000,14027482,ef,1,,
1152,4,1979,Kakanui River,1361385,Kakanui River 1,717,1430,Kakanui River, ,10,10,niwa,j42,2339900,5558400,14032872,efm,1, , 
1155,8,1979,Waitaki River,1361262,Waitaki River tributary 1,711,1100,Waitaki River, ,35,11,niwa,j41,2354200,5585100,13523982,unn, , , 
1157,8,1979,Waitaki River,1361263,Maerewhenua River,711.04,1000,Maerewhenua River,,130,41,niwa,I40,2327900,5592400,13522896,ef,1,,
1158,8,1979,Waitaki River,1361263,Maerewhenua River,711.04,1030,Maerewhenua River,,210,56,niwa,I41,2320300,5582400,13524490,ef,1,,
1159,8,1979,Waitaki River,1361263,Maerewhenua River,711.04,1100,Maerewhenua River, ,250,59,niwa,i41,2317700,5581500,13524551,ef,1, , 
1160,8,1979,Waitaki River,1361278,Hakataramea River 2,711.14,1300,Hakataramea River, ,270,79,niwa,i40,2319700,5613500,13520194,ef,1, , 
1161,8,1979,Waitaki River,1361272,Hakataramea River 1,711.14,1345,Hakataramea River,,210,68,niwa,I40,2312000,5608300,13520806,ef,1,,
1162,8,1979,Waitaki River,1361272,Hakataramea River 1,711.14,1415,Hakataramea River, ,202,65,niwa,i40,2311400,5606200,13521044,ef,1, , 
1165,8,1979,Waitaki River,1361262,Waitaki River tributary 1,711,1130,Waitaki River,,35,11,niwa,J41,2354200,5585100,13523982,ef,1,,
1167,8,1979,Waitaki River,1361379,Fork Stream,711.393,1130,Fork Stream,,790,183,niwa,I37,2301700,5688400,13506875,ef,1,,
1168,8,1979,Waitaki River,1361379,Fork Stream,711.393,1330,Fork Stream,,660,175,niwa,I37,2305100,5682600,13507746,ef,1,,
1169,8,1979,Kakanui River,1361387,Kauru River,717.04,1000,Kauru River,,70,24,niwa,J41,2334700,5566800,14028881,ef,1,,
1170,8,1979,Kakanui River,1361387,Kauru River,717.04,1030,Kauru River,,100,28,niwa,J41,2332300,5564200,14029391,ef,1,,
1171,8,1979,Kakanui River,1361387,Kauru River,717.04,1110,Kauru River,,55,25,niwa,J41,2336500,5567400,14028492,ef,1,,
1172,8,1979,Waianakarua River,1361394,Waianakarua River,720,1200,Waianakarua River,,25,7,niwa,J42,2336900,5547200,14038215,efm,1,,
1173,8,1979,Waianakarua River,1361394,Waianakarua River,720.021,1230,South Branch Waianakarua River,,30,9,niwa,J42,2335800,5546900,14038252,efm,1,,
1174,9,1979,Kakanui River,1361385,Kakanui River 1,717,930,Kakanui River,,70,27,niwa,J41,2333400,5570000,14027482,ef,1,,
1175,9,1979,Kakanui River,1361385,Kakanui River 1,717,1130,Kakanui River, ,10,9,niwa,j42,2340200,5558400,14032872,efm,1, , 
1176,10,1979,Waitaki River,1361317,Ahuriri River East Branch,711.31,1040,Ahuriri River, ,135,156,niwa,g39,2247900,5634400,13515957,ef,1, ,100
1177,10,1979,Waitaki River,1361306,Ahuriri River,711.31,1200,Ahuriri River, ,575,149,niwa,h39,2253000,5629800,13517282,ef,1, , 
1179,10,1979,Waitaki River,1361307,Ahuriri River 1,711.31,1330,Ahuriri River, ,410,126,niwa,h39,2270400,5633200,13516552,ef,1, , 
1181,11,1979,Waitaki River,1361359,Irishman Creek lower,711.391,1200,Irishman Creek,,640,168,niwa,I38,2297800,5676800,13508583,ef,1,,
1182,11,1979,Waitaki River,1361356,Mary Burn lower,711.391,1300,Mary Burn,,615,152,niwa,I38,2296000,5666800,13510147,ef,1,,
1183,11,1979,Waitaki River,1361362,Grays River 1,711.39,1400,Tekapo River, ,460,146,niwa,i38,2297500,5658500,13511320,ef,1, , 
1184,12,1979,Kakanui River,1361385,Kakanui River 1,717,930,Kakanui River,,10,9,niwa,J42,2340200,5558400,14032872,efm,1,,
1185,12,1979,Kakanui River,1361385,Kakanui River 1,717,1030,Kakanui River, ,30,15,niwa,j41,2338800,5563300,14030148,ef,1, , 
1186,12,1979,Waitaki River,1361262,Waitaki River tributary 1,711,1330,Waitaki River, ,35,11,niwa,j41,2354200,5585100,13523982,ef,1, , 
1188,12,1979,Kakanui River,1361385,Kakanui River 1,717,1300,Kakanui River,,70,27,niwa,J41,2333400,5570000,14027482,ef,1,,
1189,12,1979,Kakanui River,1361387,Kauru River,717.04,1340,Kauru River, ,70,24,niwa,j41,2334700,5566800,14028881,ef,1, , 
1190,12,1979,Kakanui River,1361387,Kauru River,717.04,1430,Kauru River, ,55,25,niwa,j41,2336500,5567400,14028492,ef,1, , 
1191,12,1979,Waitaki River,1361263,Maerewhenua River,711.04,1100,Maerewhenua River,,250,59,niwa,I41,2317700,5581500,13524551,ef,1,,
1192,12,1979,Waitaki River,1361263,Maerewhenua River,711.04,1230,Maerewhenua River, ,210,56,niwa,i41,2320300,5582400,13524490,ef,1, , 
1193,12,1979,Waitaki River,1361263,Maerewhenua River,711.04,1300,Maerewhenua River,,130,41,niwa,i40,2327900,5592400,13522896,ef,1,,
1194,12,1979,Waitaki River,1361278,Hakataramea River 2,711.14,1350,Hakataramea River, ,270,79,niwa,i40,2319700,5613500,13520194,ef,1, , 
1195,12,1979,Waitaki River,1361272,Hakataramea River 1,711.14,1430,Hakataramea River,,210,68,niwa,I40,2312000,5608300,13520806,ef,1,,
1196,12,1979,Waitaki River,1361272,Hakataramea River 1,711.14,1500,Hakataramea River, ,202,65,niwa,i40,2311400,5606200,13521044,ef,1, , 
2405,4,1979,Ashburton River,1361172,Gentleman Smith Stream upper,688.09,1200,Gentleman Smith Stream,,640,100,niwa,J36,2362900,5738600,13046874,efm,1,,
